year,month,day,hour,minute,second,northing,easting,depth,latitude,longitude,roll,pitch,heading,altitude,leftimage,rightimage
2009,6,11,6,55,59.39,141.5280593,5.6928149,97.0935194,-42.1455589,148.4821281,0.0304576,0.0036929,-1.4435443,1.9700000,PR_20090611_065559_394_LC16.png,PR_20090611_065559_394_RM16.png
2009,6,11,6,56,0.39,141.1660626,5.7203891,97.1132627,-42.1455621,148.4821286,0.0258366,-0.0045135,-1.4457266,1.9700000,PR_20090611_065600_394_LC16.png,PR_20090611_065600_394_RM16.png
2009,6,11,6,56,1.39,140.8065718,5.7301682,97.1190938,-42.1455654,148.4821287,0.0272625,-0.0036072,-1.4244797,1.9500000,PR_20090611_065601_393_LC16.png,PR_20090611_065601_393_RM16.png
2009,6,11,6,56,2.39,140.4501305,5.7098058,97.1022350,-42.1455686,148.4821286,0.0339603,0.0056219,-1.3941292,1.9600000,PR_20090611_065602_393_LC16.png,PR_20090611_065602_393_RM16.png
2009,6,11,6,56,3.39,140.0862909,5.6716759,97.0738869,-42.1455719,148.4821282,0.0337733,0.0152946,-1.3829176,2.0000000,PR_20090611_065603_393_LC16.png,PR_20090611_065603_393_RM16.png
2009,6,11,6,56,4.39,139.6978302,5.6490296,97.0578044,-42.1455754,148.4821280,0.0276267,0.0141007,-1.4005429,1.9900000,PR_20090611_065604_392_LC16.png,PR_20090611_065604_392_RM16.png
2009,6,11,6,56,5.39,139.2975701,5.6620357,97.0518912,-42.1455790,148.4821282,0.0279946,0.0054153,-1.4213959,1.9900000,PR_20090611_065605_394_LC16.png,PR_20090611_065605_394_RM16.png
2009,6,11,6,56,6.39,138.9038172,5.6876814,97.0474766,-42.1455825,148.4821286,0.0336985,0.0000007,-1.4249088,1.9900000,PR_20090611_065606_393_LC16.png,PR_20090611_065606_393_RM16.png
2009,6,11,6,56,7.39,138.5193319,5.7063371,97.0477272,-42.1455860,148.4821289,0.0343152,0.0010512,-1.4089417,1.9700000,PR_20090611_065607_390_LC16.png,PR_20090611_065607_390_RM16.png
2009,6,11,6,56,8.39,138.1418853,5.7111753,97.0606312,-42.1455894,148.4821291,0.0303690,0.0061322,-1.3906925,1.9900000,PR_20090611_065608_395_LC16.png,PR_20090611_065608_395_RM16.png
2009,6,11,6,56,9.39,137.7713331,5.7019828,97.0904546,-42.1455927,148.4821290,0.0265355,0.0098935,-1.3815338,1.9900000,PR_20090611_065609_393_LC16.png,PR_20090611_065609_393_RM16.png
2009,6,11,6,56,10.39,137.3995060,5.6816715,97.1216490,-42.1455960,148.4821289,0.0306978,0.0093935,-1.3845488,1.9600000,PR_20090611_065610_395_LC16.png,PR_20090611_065610_395_RM16.png
2009,6,11,6,56,11.39,137.0281472,5.6562771,97.1418926,-42.1455994,148.4821286,0.0425083,0.0076043,-1.3922638,1.9700000,PR_20090611_065611_395_LC16.png,PR_20090611_065611_395_RM16.png
2009,6,11,6,56,12.39,136.6735959,5.6314660,97.1523315,-42.1456026,148.4821284,0.0467844,0.0050493,-1.4002775,1.9900000,PR_20090611_065612_395_LC16.png,PR_20090611_065612_395_RM16.png
