auv_image_name,mod_image_name
PR_20101021_060649_185_LC16,HSthBroad2010_T26g
PR_20101021_060715_173_LC16,HSthBroad2010_T26h
PR_20101021_060740_169_LC16,HSthBroad2010_T26i
PR_20101021_060807_169_LC16,HSthBroad2010_T26j
PR_20101021_060833_148_LC16,HSthBroad2010_T27a
PR_20101021_060857_133_LC16,HSthBroad2010_T27b
PR_20101021_060921_125_LC16,HSthBroad2010_T27c
PR_20101021_060945_117_LC16,HSthBroad2010_T27d
PR_20101021_061010_112_LC16,HSthBroad2010_T27e
PR_20101021_061034_104_LC16,HSthBroad2010_T27f
PR_20101021_061059_112_LC16,HSthBroad2010_T27g
PR_20101021_061123_102_LC16,HSthBroad2010_T27h
PR_20101021_061148_084_LC16,HSthBroad2010_T27i
PR_20101021_061214_617_LC16,HSthBroad2010_T27j
PR_20101021_061238_582_LC16,HSthBroad2010_T28a
PR_20101021_061304_579_LC16,HSthBroad2010_T28b
PR_20101021_061329_547_LC16,HSthBroad2010_T28c
PR_20101021_061354_540_LC16,HSthBroad2010_T28d
PR_20101021_061419_548_LC16,HSthBroad2010_T28e
PR_20101021_061444_530_LC16,HSthBroad2010_T28f
PR_20101021_061508_538_LC16,HSthBroad2010_T28g
PR_20101021_061533_538_LC16,HSthBroad2010_T28h
PR_20101021_061603_500_LC16,HSthBroad2010_T28i
PR_20101021_061636_494_LC16,HSthBroad2010_T28j
PR_20101021_061702_493_LC16,HSthBroad2010_T29a
PR_20101021_061725_483_LC16,HSthBroad2010_T29b
PR_20101021_061750_502_LC16,HSthBroad2010_T29c
PR_20101021_061816_477_LC16,HSthBroad2010_T29d
PR_20101021_061840_470_LC16,HSthBroad2010_T29e
PR_20101021_061906_453_LC16,HSthBroad2010_T29f
PR_20101021_061939_436_LC16,HSthBroad2010_T29g
PR_20101021_062004_432_LC16,HSthBroad2010_T29h
PR_20101021_062030_454_LC16,HSthBroad2010_T29i
PR_20101021_062057_406_LC16,HSthBroad2010_T29j
PR_20101021_062128_449_LC16,HSthBroad2010_T30a
PR_20101021_062215_400_LC16,HSthBroad2010_T30b
PR_20101021_062253_382_LC16,HSthBroad2010_T30c
PR_20101021_062324_369_LC16,HSthBroad2010_T30d
PR_20101021_062348_379_LC16,HSthBroad2010_T30e
PR_20101021_062414_360_LC16,HSthBroad2010_T30f
PR_20101021_062445_367_LC16,HSthBroad2010_T30g
PR_20101021_062512_377_LC16,HSthBroad2010_T30h
PR_20101021_062541_349_LC16,HSthBroad2010_T30i
PR_20101021_062612_331_LC16,HSthBroad2010_T30j
PR_20101021_062642_297_LC16,HSthBroad2010_T31a
PR_20101021_062722_294_LC16,HSthBroad2010_T31b
PR_20101021_062746_287_LC16,HSthBroad2010_T31c
PR_20101021_062815_283_LC16,HSthBroad2010_T31d
PR_20101021_062839_275_LC16,HSthBroad2010_T31e
PR_20101021_062902_287_LC16,HSthBroad2010_T31f
PR_20101021_062933_249_LC16,HSthBroad2010_T31g
PR_20101021_062959_274_LC16,HSthBroad2010_T31h
PR_20101021_063021_253_LC16,HSthBroad2010_T31i
PR_20101021_063053_242_LC16,HSthBroad2010_T31j
PR_20101021_063130_718_LC16,HSthBroad2010_T32a
PR_20101021_063156_720_LC16,HSthBroad2010_T32b
PR_20101021_063220_695_LC16,HSthBroad2010_T32c
PR_20101021_063243_682_LC16,HSthBroad2010_T32d
PR_20101021_063306_670_LC16,HSthBroad2010_T32e
PR_20101021_063335_677_LC16,HSthBroad2010_T32f
PR_20101021_063358_665_LC16,HSthBroad2010_T32g
PR_20101021_063421_654_LC16,HSthBroad2010_T32h
PR_20101021_063445_668_LC16,HSthBroad2010_T32i
PR_20101021_063514_639_LC16,HSthBroad2010_T32j
